id,text,gold_label,pred_label,prob_hateful,matched_final_identity_terms,identity_terms,has_identity_term,hateful_counterpart,pair_notes,label,label_id,prob_non_hateful
10413780_gab,the muslimes and africans want to take over all things that whites have created they are especially obsessed pussy whipped by our women this is very dangerous as our women are our future white women need to understand that their bodies are the frontline and that this is a war,non_hateful,hateful,0.9984187,"muslimes,white,women","white,women",True,,,non_hateful,0,0.0015813285
24193157_gab,how much longer will the west continue to put up with all of this shit from retarded third worlders and liberal cucks before we revert to a frontier mentality and just start the real violence,non_hateful,hateful,0.9979955,"cucks,retarded",,False,,,non_hateful,0,0.0020045447
22206778_gab,cowardly brit pray for death rather than drive moslem terrorists out of the uk,non_hateful,hateful,0.997917,moslem,,False,,,non_hateful,0,0.002083044
27106705_gab,i am the reaction to the shitskin invasion,non_hateful,hateful,0.9978206,shitskin,,False,,,non_hateful,0,0.0021794145
25873026_gab,it seems to me that the ideal queen for great britain in this idyllic pc era would be an obese hiv positive lesbian negress,non_hateful,hateful,0.9975835,"lesbian,negress",lesbian,True,,,non_hateful,0,0.0024164475
11147738_gab,is it weird that i do not mind the anti semitism that i have seen on gab use of the word kike never had any weight to me also there only <number> million of us in the world and billions hate us how can we control anything,non_hateful,hateful,0.99695706,kike,,False,,,non_hateful,0,0.003042891
10912372_gab,<number> • reply • share › avatar t100c1970 • an hour ago merkel is the best friend the muzzies have in deutchland but erdogan is just doing what obama did in isreal to try to get rid of bibi and in britain to try to defeat brexit,non_hateful,hateful,0.9967704,"muzzie,muzzies",,False,,,non_hateful,0,0.0032296898
1178018289122824193_twitter,my sister is becoming more ching chong pretty much taller and so fucking similar to my personality i should feel threatened,non_hateful,hateful,0.99674857,chong,,False,,,non_hateful,0,0.0032514855
23252924_gab,my uncle found a coon hound and brought it home briefly today until it bit my mother apparently being bit by a dog hurts and she did not want something around that might endanger her little dog,non_hateful,hateful,0.9966844,coon,,False,,,non_hateful,0,0.0033156294
24595089_gab,jesus is the real nigger,non_hateful,hateful,0.99635565,nigger,,False,,,non_hateful,0,0.0036443765
1178384487798972416_twitter,<user> nigger is still jesus christ for all this niggers,non_hateful,hateful,0.9958825,"nigger,niggers",,False,,,non_hateful,0,0.004117523
1178146381082615808_twitter,i am the biggest faggot cunt,non_hateful,hateful,0.99534094,faggot,,False,,,non_hateful,0,0.0046590334
1178541520980459520_twitter,the white guilty boy is a faggot the guilty darker men are idiots and like white nosy whores and skin color division bcus they have feminine qualities like females they make no heterosexual kids on any level even though they claim to be heterosexual you all are garbage,non_hateful,hateful,0.9944806,"faggot,white",white,True,,,non_hateful,0,0.0055194097
13757529_gab,nigger you sold <number> books all year lol,non_hateful,hateful,0.99436605,nigger,,False,,,non_hateful,0,0.005633985
10027973_gab,<number> would you like your nigger tote in the traybon or the michael brown size sir,non_hateful,hateful,0.9941391,nigger,,False,,,non_hateful,0,0.005860947
1118090272213295105_twitter,hot phat ass stash big this nigger this nigger,non_hateful,hateful,0.9936147,nigger,,False,,,non_hateful,0,0.0063853557
1179095291783450624_twitter,<user> 😯 😯 😔 this nigger does not love me enough i mean its just a hand bro,non_hateful,hateful,0.9934256,nigger,,False,,,non_hateful,0,0.006574416
15543149_gab,dickpepe will not let the antifa scum get away with the violence and destruction dick pepe no <number> pepe the bloody bikelock <user>,non_hateful,hateful,0.99330693,scum,,False,,,non_hateful,0,0.00669306
1178694026611937281_twitter,him idc what she says i will grab any woman by the pussy and fuck you brownies and fuck you fags and dykes us he a rapist racist homophobe transphobe you all how can you be so unpatriotic can t you see he is bringing america back to her roots us yup he sure is,non_hateful,hateful,0.99310595,"brownies,dyke,dykes,woman",woman,True,,,non_hateful,0,0.00689407
27002966_gab,hey i will do one better i will challenge his dyke friend to a boxing match i am <number> yrs old so it would be like fighting her grandmother i will even let her use <number> oz gloves i will use <number> oz i will not even wear headgear,non_hateful,hateful,0.9928752,dyke,,False,,,non_hateful,0,0.007124754
26795547_gab,so an inside joke and i am the so called inept pelican wow haha go have your silly fun i guess nigger,non_hateful,hateful,0.99154705,nigger,,False,,,non_hateful,0,0.008452983
1179100565718097920_twitter,i hate you cowards,non_hateful,hateful,0.99129254,cowards,,False,,,non_hateful,0,0.008707441
1802323_gab,just another moslem victim card they eat meat and pigs are killed in the same slaughter houses as their meat if this was real every damn moslem in civilised countries would be vegetarian <user>,non_hateful,hateful,0.9904919,moslem,,False,,,non_hateful,0,0.009508073
1178889448194490368_twitter,i hope you all are aware that i will definitely keep watching queer eye for the serotonin and faggotry right,non_hateful,hateful,0.99032766,faggotry,,False,,,non_hateful,0,0.009672363
1178807580396806144_twitter,bitch sun dyke moon cunt rising,non_hateful,hateful,0.9901579,dyke,,False,,,non_hateful,0,0.009842078
1178483586208538624_twitter,bill maher m islam is horrible and mosques should not exist anywhere fuck freedom of religion white liberals o lol it ok,non_hateful,hateful,0.98827773,"islam,white",white,True,,,non_hateful,0,0.011722235
1178751837026938880_twitter,i meant whigger not whither lol,non_hateful,hateful,0.98497427,whigger,,False,,,non_hateful,0,0.0150257535
1177977915662839808_twitter,rich twerkin fuck with big ferrari this nigger,non_hateful,hateful,0.98451877,nigger,,False,,,non_hateful,0,0.015481233
14708270_gab,moslem migrant <number> i know how to color i also know how to shave and shape my goatie moslem migrant <number> i want to paint a picture of myself with facial hair and i can count to potato,non_hateful,hateful,0.9838071,moslem,,False,,,non_hateful,0,0.016192988
1178388740475166720_twitter,and we never had no fun well they came down hard on the faggots and they came down hard on the street they came down harder on sam,non_hateful,hateful,0.9793841,"faggot,faggots",,False,,,non_hateful,0,0.020615939
1178914996580839424_twitter,do not call my phone with nothing to talk about this late at night and definitely do not call me phone and use slurs these slurs include retard faggot tranny spic chink and other offensive ass word i will literally never talk to you again,non_hateful,hateful,0.97443855,"faggot,spic",,False,,,non_hateful,0,0.025561474
1172073418365140993_twitter,jontron is a fucking scumbag,non_hateful,hateful,0.9736622,scumbag,,False,,,non_hateful,0,0.02633787
11901142_gab,i took my black powder <number> cal muzzie loader out to the road mounted on the scope i can even use rocks when i run out of lead great gun except in the rain,non_hateful,hateful,0.97253764,"black,muzzie",black,True,,,non_hateful,0,0.027462348
