model,id,text,gold_label,pred_label,prob_hateful,identity_abs_attribution,total_abs_attribution,identity_attribution_share,matched_identity_words,top_words
aggressive_reduction,10318118_gab,clapton told the crowd that england had become overcrowded vote for powell to stop britain from becoming a black colony that britain should get the foreigners out get the wogs out get the coons out then repeatedly shouted the national front slogan keep britain white prophetic,non_hateful,hateful,0.8604123,0.5404577199369669,4.406958435662091,0.12263735359141635,a:0.025110;black:0.068580;coons:0.413196;white:0.033572,coons:0.413196;out:-0.392056;wogs:0.340634;get:0.245458;britain:-0.212004;vote:0.189212;out:0.183192;the:-0.163645;that:0.153116;overcrowded:0.152770
aggressive_reduction,10979482_gab,wishful thinking mr president these people will always hate you white man do not you get it yet u <user> stated that whichs very dangerous why do u refuse to understand that king kike trumps a genetic jew on his dads side wow hes its not an anglo saxon white man white nations,non_hateful,hateful,0.99131024,1.4288862999528646,3.8268133103847504,0.3733880343928258,white:0.076252;man:0.049213;it:0.016236;u:0.049245;u:0.050162;kike:0.448983;a:0.115442;jew:0.110039;on:-0.058125;its:-0.079565;an:-0.018248;white:-0.227025;man:0.061319;white:-0.069032,kike:0.448983;white:-0.227025;wishful:0.204993;wow:0.180378;<user>:0.174436;mr:0.138044;understand:0.122050;a:0.115442;side:0.114554;saxon:0.113810
aggressive_reduction,11678017_gab,in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,non_hateful,hateful,0.9948078,1.8419055133126676,3.536928136367351,0.5207641892335481,in:0.058611;jewish:0.034986;in:0.120221;jews:0.139741;whites:-0.035469;it:0.035900;it:-0.027722;a:0.002503;kike:1.386753,kike:1.386753;might:0.281923;someone:0.234997;watch:0.143196;jews:0.139741;organise:0.139673;advocacy:0.135686;receives:0.123184;in:0.120221;the:0.088152
aggressive_reduction,1178821631797538822_twitter,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,non_hateful,hateful,0.84395736,0.32160037755966187,6.908096794039011,0.04655412151103187,i:0.105625;am:-0.013320;white:0.168958;can:-0.033696,towelhead:2.733819;comments:0.511046;<user>:-0.501877;now:-0.370492;lily:0.348835;we:-0.273927;her:0.243336;her:-0.229183;impunity:0.200293;to:0.178895
aggressive_reduction,1178832944707915776_twitter,no chinks niggers or redskins ah i can already tell by the blunt racist dialogue from one of the white characters in the opening scene that this is going to be a good exploitation film,non_hateful,hateful,0.69496137,1.5282287122681737,4.849759518168867,0.31511432815233487,niggers:0.843109;i:-0.414057;can:-0.149959;white:-0.008364;in:0.066052;is:-0.000547;be:0.035015;a:0.011127,chinks:1.030604;niggers:0.843109;redskins:0.417064;i:-0.414057;ah:-0.286767;or:0.264009;can:-0.149959;from:-0.146544;going:-0.129797;to:-0.117555
aggressive_reduction,1178981039353581568_twitter,f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity 👻,non_hateful,hateful,0.977594,0.7325177481397986,5.510630133096129,0.13292812808110496,f:-0.078415;it:0.117305;in:0.071728;up:0.114002;i:0.289259;am:-0.024609;white:-0.035866;white:0.001334,sacks:0.787343;puke:0.705772;nazi:0.330264;i:0.289259;win:0.258504;gone:0.246540;these:0.225410;bathtub:0.196201;the:0.167043;itself:0.135651
aggressive_reduction,1213875760420794368_twitter,<user> yet colin nike exploits asians at an alarming rate i hate graham and the cult45 but i agree with him on this,non_hateful,hateful,0.82495195,0.727056410163641,4.685964189469814,0.1551562028146661,asians:0.080558;an:0.231902;i:0.335245;i:-0.040149;on:0.039203,nike:1.639948;exploits:0.620694;i:0.335245;an:0.231902;at:0.229800;yet:0.228000;rate:-0.161217;colin:0.149352;alarming:-0.134546;<user>:-0.129932
aggressive_reduction,1226925254062362627_twitter,us black trans women are dying white vegans us eat meat white vegans you should be ashamed of yourself,non_hateful,hateful,0.84437263,1.2428973577916622,2.560306642204523,0.4854486323253372,us:0.107936;black:0.026161;trans:0.118177;women:-0.263239;white:0.359002;us:-0.002397;white:0.171685;be:0.194301,white:0.359002;vegans:0.266353;women:-0.263239;yourself:0.244618;you:0.218032;vegans:0.213126;be:0.194301;white:0.171685;eat:-0.126600;trans:0.118177
aggressive_reduction,12597139_gab,the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,non_hateful,hateful,0.98403037,1.2351885549724102,3.605818724259734,0.34255425727925115,up:0.147037;as:0.117849;moslem:0.208359;be:0.148338;stupid:0.384188;muslim:-0.069629;islam:-0.016359;islamofascism:0.143429,stupid:0.384188;deserve:0.354834;french:0.220129;end:0.210848;moslem:0.208359;from:0.202416;dhimmi:0.182085;politicians:0.149551;be:0.148338;up:0.147037
aggressive_reduction,15879649_gab,andrew anglin wants white women to be raped and beaten into submission he is just gross being out there just to shock white sharia is cancer and must be vehemently denounced,non_hateful,hateful,0.9484405,1.2638963181525469,3.627005310729146,0.3484682844036042,white:0.291984;women:-0.013067;be:0.187365;is:0.024909;white:0.416568;is:0.075535;be:0.254466,white:0.416568;must:0.361756;white:0.291984;denounced:0.288358;shock:0.265786;be:0.254466;be:0.187365;sharia:-0.170934;and:0.169424;anglin:0.153326
