model,id,text,gold_label,pred_label,prob_hateful,identity_abs_attribution,total_abs_attribution,identity_attribution_share,matched_identity_words,top_words
baseline,10318118_gab,clapton told the crowd that england had become overcrowded vote for powell to stop britain from becoming a black colony that britain should get the foreigners out get the wogs out get the coons out then repeatedly shouted the national front slogan keep britain white prophetic,non_hateful,hateful,0.9968906,1.0498731094412506,4.147873560199514,0.25311116508352566,a:0.006638;black:0.040388;coons:0.997278;white:0.005570,coons:0.997278;wogs:0.656421;get:0.269694;the:0.147781;england:0.135021;vote:0.114862;get:0.111790;crowd:0.105076;shouted:-0.095963;out:0.091433
baseline,10979482_gab,wishful thinking mr president these people will always hate you white man do not you get it yet u <user> stated that whichs very dangerous why do u refuse to understand that king kike trumps a genetic jew on his dads side wow hes its not an anglo saxon white man white nations,non_hateful,hateful,0.9981103,2.496798660606146,6.477613390889019,0.385450398154045,white:0.084234;man:0.008666;it:0.026763;u:-0.068141;u:0.042634;kike:1.525038;a:0.236647;jew:0.245623;on:-0.113117;its:0.052734;an:0.059861;white:0.000841;man:0.025361;white:0.007139,kike:1.525038;trumps:0.403885;wishful:0.361368;king:0.325356;mr:0.251913;jew:0.245623;a:0.236647;president:0.191144;whichs:0.162689;that:0.158681
baseline,11678017_gab,in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,non_hateful,hateful,0.99824536,3.6580897141247988,6.008567005861551,0.608812335879123,in:0.184246;jewish:0.343149;in:0.165764;jews:0.677828;whites:0.087021;it:0.046887;it:0.021508;a:0.071928;kike:2.059758,kike:2.059758;jews:0.677828;might:0.459695;jewish:0.343149;billions:0.315111;organise:0.212227;the:0.208170;in:0.184246;in:0.165764;funding:-0.156784
baseline,1178821631797538822_twitter,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,non_hateful,hateful,0.98747545,0.21596341021358967,6.808546690270305,0.03171945791635832,i:0.149811;am:0.016902;white:0.016021;can:0.033229,towelhead:3.494807;comments:0.962787;to:0.204760;now:-0.204573;attack:0.157842;her:0.154790;impunity:0.151822;i:0.149811;cancel:-0.139155;lily:0.128936
baseline,1178832944707915776_twitter,no chinks niggers or redskins ah i can already tell by the blunt racist dialogue from one of the white characters in the opening scene that this is going to be a good exploitation film,non_hateful,hateful,0.9957825,2.349613850004971,5.991194266825914,0.3921778772915299,niggers:2.148605;i:-0.036955;can:-0.012710;white:-0.061805;in:0.027337;is:-0.005803;be:0.032531;a:0.023869,niggers:2.148605;chinks:1.423292;redskins:0.709695;no:0.317172;or:0.231907;ah:-0.112995;from:-0.096103;by:0.084440;this:0.082610;exploitation:0.072957
baseline,1178981039353581568_twitter,f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity 👻,non_hateful,hateful,0.9956774,0.6912844879552722,6.536322194617242,0.10576046702908178,f:0.049939;it:0.065908;in:0.086345;up:0.161864;i:-0.080463;am:0.164353;white:0.011868;white:0.070543,puke:1.028536;sacks:0.913898;nazi:0.518283;win:0.442118;these:0.389698;bathtub:0.342622;the:0.196975;gop:0.182862;itself:0.169253;am:0.164353
baseline,1213875760420794368_twitter,<user> yet colin nike exploits asians at an alarming rate i hate graham and the cult45 but i agree with him on this,non_hateful,hateful,0.9622817,1.003267079591751,6.925992829725146,0.1448553448230418,asians:0.529275;an:0.136283;i:-0.191079;i:-0.084096;on:0.062534,nike:3.260191;exploits:1.037891;asians:0.529275;yet:0.343034;rate:-0.223092;<user>:-0.216665;i:-0.191079;and:-0.160865;an:0.136283;graham:-0.130568
baseline,1226925254062362627_twitter,us black trans women are dying white vegans us eat meat white vegans you should be ashamed of yourself,non_hateful,hateful,0.87977666,3.4073724895715714,4.4088928289711475,0.7728408518305288,us:-0.509763;black:0.545715;trans:0.171029;women:0.341488;white:0.738786;us:0.395748;white:0.523164;be:0.181680,white:0.738786;black:0.545715;white:0.523164;us:-0.509763;us:0.395748;women:0.341488;ashamed:0.186898;be:0.181680;you:0.176397;trans:0.171029
baseline,12597139_gab,the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,non_hateful,hateful,0.9954667,2.2201723363250494,5.269709758460522,0.4213082765631564,up:0.058263;as:0.192762;moslem:0.864231;be:0.137190;stupid:0.081351;muslim:0.124432;islam:0.335626;islamofascism:0.426317,moslem:0.864231;dhimmi:0.486568;islamofascism:0.426317;islam:0.335626;french:0.262526;end:0.261360;either:0.221975;politicians:0.207021;as:0.192762;to:0.186466
baseline,15879649_gab,andrew anglin wants white women to be raped and beaten into submission he is just gross being out there just to shock white sharia is cancer and must be vehemently denounced,non_hateful,hateful,0.92436725,1.5582653731107712,4.896060233935714,0.3182692407070643,white:0.288376;women:0.066650;be:0.136673;is:0.025979;white:0.776456;is:0.084435;be:0.179697,white:0.776456;sharia:0.623854;cancer:-0.318380;white:0.288376;shock:0.251818;andrew:0.221883;and:0.203978;to:0.187634;being:0.182301;be:0.179697
baseline,18424064_gab,white guy puts ied in mall and the response is fuck all muzzies and spics stay classy gab,non_hateful,hateful,0.9980317,3.766883797943592,5.779689446091652,0.6517450172847675,white:-0.278082;in:0.070791;is:-0.231202;muzzies:3.104213;spics:0.082596,muzzies:3.104213;fuck:0.703360;all:0.668406;white:-0.278082;is:-0.231202;putsied:0.174364;response:0.097689;gab:0.097584;spics:0.082596;in:0.070791
baseline,20372433_gab,when blacks act in a manner far less likely to involve getting shot their peers call them coons and uncle toms some of their own people told them this too but they did not want to listen,non_hateful,hateful,0.9828614,2.1452344320714474,5.37361785210669,0.39921603863780947,blacks:0.833660;in:0.144080;a:0.043372;coons:1.111798;own:0.012325,coons:1.111798;blacks:0.833660;them:0.582644;told:-0.307394;peers:0.173402;in:0.144080;involve:0.143402;uncle:0.142007;shot:-0.141061;getting:-0.123753
baseline,24959028_gab,on the left jews putting a sad face for the pictures that they would publish around the world on the right the same jews celebrating that their enemies were killing each other and soon israel would be created without shedding a single drop of jewish blood,non_hateful,hateful,0.93268883,1.9626945238560438,6.733172548003495,0.2914962463627963,on:0.021446;jews:0.339562;a:0.003598;on:-0.081412;jews:0.179425;killing:-0.106377;be:0.085535;a:0.134300;jewish:1.011040,jewish:1.011040;celebrating:0.416256;shedding:0.357817;putting:-0.346660;jews:0.339562;sad:0.309589;same:-0.284703;without:-0.261487;the:0.247107;created:0.205299
baseline,4361301_gab,feminists i am doing this womens march because trump is a misogynist that hires many women into leading roles in his business and hates illegal immigrants i am the resistance but let import as many islamic women oppressing refugees as we can cuz diversity,non_hateful,hateful,0.9574164,3.1674352027475834,8.30388149805367,0.3814403184209688,i:0.026218;am:0.094003;womens:0.226761;is:-0.052036;a:-0.142631;women:-0.181649;in:0.124385;immigrants:0.359339;i:-0.104693;am:-0.079921;as:0.420468;islamic:0.778059;women:0.068315;as:0.405201;can:0.103755,islamic:0.778059;many:0.678779;oppressing:-0.562357;diversity:0.447282;as:0.420468;feminists:0.415841;as:0.405201;cuz:-0.393492;immigrants:0.359339;hires:-0.291741
