"pair_id","source_false_positive_id","non_hateful_text","hateful_counterpart","non_hateful_label","hateful_label","matched_final_identity_terms","prob_hateful_baseline","pair_construction_notes"
"pair_0001","10413780_gab","the muslimes and africans want to take over all things that whites have created they are especially obsessed pussy whipped by our women this is very dangerous as our women are our future white women need to understand that their bodies are the frontline and that this is a war","the muslimes and africans seek to destroy all things that whites have created they are especially obsessed with defiling our women this is very dangerous as our women are our future white women need to understand that their bodies are being violated and that this is a race war","non_hateful","hateful","muslimes,white,women","0.9984187","Preserved: [group] + [verb phrase] + [whites created] + [obsessed with our women] + [women as frontline/war]. Changed: want to take over→seek to destroy; pussy whipped by→obsessed with defiling; the frontline→being violated; a war→a race war. Makes invasion framing explicit and hateful."
"pair_0002","10413780_gab","the muslimes and africans want to take over all things that whites have created they are especially obsessed pussy whipped by our women this is very dangerous as our women are our future white women need to understand that their bodies are the frontline and that this is a war","the muslimes and africans have already taken over all things that whites have built they are especially obsessed with replacing our women this is catastrophic as our women are being lost white women need to understand that their bodies belong to us and that they must resist the replacement","non_hateful","hateful","muslimes,white,women","0.9984187","Preserved: same structure [group]+[have Xed]+[whites built]+[obsessed with women]+[women must understand]. Changed: want to take over→have already taken over; created→built; very dangerous→catastrophic; the frontline→belong to us; this is a war→must resist the replacement. Amplifies replacement-theory framing."
"pair_0003","24193157_gab","how much longer will the west continue to put up with all of this shit from retarded third worlders and liberal cucks before we revert to a frontier mentality and just start the real violence","how much longer will the west continue to be destroyed by retarded third worlders and liberal cucks before we revert to a frontier mentality and start purging them all","non_hateful","hateful","cucks,retarded","0.9979955","Preserved: rhetorical question structure [how much longer]+[west]+[verb]+[retarded third worlders and liberal cucks]+[before we revert to frontier mentality]+[action]. Changed: put up with→be destroyed by; just start the real violence→start purging them all. Shifts from vague violence to explicit ethnic purge language."
"pair_0004","24193157_gab","how much longer will the west continue to put up with all of this shit from retarded third worlders and liberal cucks before we revert to a frontier mentality and just start the real violence","how much longer will the west continue to be humiliated by retarded third worlders and liberal cucks we need to revert to a frontier mentality and start the real cleansing now","non_hateful","hateful","cucks,retarded","0.9979955","Preserved: same complaint framing and identity slurs retained. Changed: put up with→be humiliated by; before we revert→we need to revert; just start the real violence→start the real cleansing now. Cleansing is a genocide-coded term making the hateful intent explicit."
"pair_0005","22206778_gab","cowardly brit pray for death rather than drive moslem terrorists out of the uk","cowardly brit pray for death rather than hunt every moslem terrorist down in the uk","non_hateful","hateful","moslem","0.997917","Preserved: [adj brit]+[verb for death]+[rather than]+[verb moslem terrorists]+[in the uk]. Changed: drive...out of→hunt...down in. Shifts from expulsion to hunting/killing, making violence explicit."
"pair_0006","22206778_gab","cowardly brit pray for death rather than drive moslem terrorists out of the uk","cowardly brit pray for peace rather than drive every moslem invader out of the uk permanently","non_hateful","hateful","moslem","0.997917","Preserved: same skeleton [adj brit]+[pray for X]+[rather than drive]+[moslems]+[out of the uk]. Changed: death→peace (ironic flip); moslem terrorists→every moslem invader; added permanently. Broadens target from terrorists to all Muslims, making it a collective ethnic expulsion call."
"pair_0007","27106705_gab","i am the reaction to the shitskin invasion","i am the solution to the shitskin invasion","non_hateful","hateful","shitskin","0.9978206","Preserved: [I am the X to the shitskin invasion]. Changed: reaction→solution. Shifts from defensive framing to genocidal-coded 'final solution' framing."
"pair_0008","27106705_gab","i am the reaction to the shitskin invasion","i am the weapon against the shitskin plague","non_hateful","hateful","shitskin","0.9978206","Preserved: [I am the X against/to the shitskin Y]. Changed: reaction→weapon; invasion→plague. Dehumanizes the group as a disease and frames speaker as an instrument of violence."
"pair_0009","25873026_gab","it seems to me that the ideal queen for great britain in this idyllic pc era would be an obese hiv positive lesbian negress","it seems to me that the worst nightmare for great britain in this idyllic pc era would be an obese hiv positive lesbian negress on the throne","non_hateful","hateful","lesbian,negress","0.9975835","Preserved: [it seems to me that the X for great britain in this idyllic pc era would be an obese hiv positive lesbian negress]. Changed: ideal queen→worst nightmare; added on the throne. Transforms ironic praise into explicit revulsion."
"pair_0010","25873026_gab","it seems to me that the ideal queen for great britain in this idyllic pc era would be an obese hiv positive lesbian negress","it seems to me that the biggest shame for great britain in this degenerate pc era would be an obese hiv positive lesbian negress representing us","non_hateful","hateful","lesbian,negress","0.9975835","Preserved: same sentence frame with all slurs retained. Changed: ideal→biggest shame; idyllic→degenerate; added representing us. Converts the ironic positive into an explicitly contemptuous frame."
