model,id,term,term_abs_attribution_top_words,total_abs_attribution,term_attribution_share_top_words
baseline,10318118_gab,black,0.997278,4.147873560199514,0.2404311475569739
baseline,10979482_gab,jewish,1.7706609999999998,6.477613390889019,0.27335083049113335
baseline,11678017_gab,jewish,3.080735,6.008567005861551,0.5127237487731506
baseline,1178832944707915776_twitter,black,2.148605,5.991194266825914,0.3586271625170174
baseline,1213875760420794368_twitter,immigrant_nationality,0.529275,6.925992829725146,0.07641864682972882
baseline,1226925254062362627_twitter,white,1.2619500000000001,4.4088928289711475,0.2862283228359821
baseline,1226925254062362627_twitter,black,0.545715,4.4088928289711475,0.12377597305474698
baseline,1226925254062362627_twitter,women,0.341488,4.4088928289711475,0.07745436626539393
baseline,1226925254062362627_twitter,gay_lgbt,0.171029,4.4088928289711475,0.038791825212025184
baseline,12597139_gab,muslim,1.626174,5.269709758460522,0.30858891182558523
baseline,15879649_gab,white,1.064832,4.896060233935714,0.21748752039842276
baseline,18424064_gab,muslim,3.104213,5.779689446091652,0.5370899299960026
baseline,18424064_gab,white,0.278082,5.779689446091652,0.0481136577654782
baseline,18424064_gab,immigrant_nationality,0.082596,5.779689446091652,0.01429073322544227
baseline,20372433_gab,black,1.945458,5.37361785210669,0.3620387704416488
baseline,24959028_gab,jewish,1.3506019999999999,6.733172548003495,0.2005892453180154
baseline,4361301_gab,muslim,0.778059,8.30388149805367,0.09369823018095425
baseline,4361301_gab,immigrant_nationality,0.359339,8.30388149805367,0.04327361849807524
balanced_guardrail,10318118_gab,black,1.049632,5.272870505228639,0.1990627304348121
balanced_guardrail,10979482_gab,jewish,1.223752,6.20786002650857,0.19712944473206231
balanced_guardrail,11678017_gab,jewish,2.184576,4.836122799664736,0.4517205394684034
balanced_guardrail,1178832944707915776_twitter,black,1.599755,6.016558613628149,0.26589203276045276
balanced_guardrail,1178832944707915776_twitter,white,0.135042,6.016558613628149,0.022445056829350156
balanced_guardrail,1178981039353581568_twitter,white,0.186674,5.7689991681836545,0.03235812565713604
balanced_guardrail,1213875760420794368_twitter,immigrant_nationality,0.720792,5.877216832712293,0.1226417232027425
balanced_guardrail,1226925254062362627_twitter,white,0.705166,3.5301712714135647,0.19975404754728365
balanced_guardrail,1226925254062362627_twitter,black,0.325816,3.5301712714135647,0.09229467211360981
balanced_guardrail,1226925254062362627_twitter,women,0.299012,3.5301712714135647,0.08470183937570498
balanced_guardrail,1226925254062362627_twitter,gay_lgbt,0.179263,3.5301712714135647,0.050780255748956574
balanced_guardrail,12597139_gab,muslim,2.0658209999999997,8.258158165030181,0.2501551748848649
balanced_guardrail,12597139_gab,other_trigger,0.445493,8.258158165030181,0.05394580620730601
balanced_guardrail,15879649_gab,white,0.9142319999999999,4.331594713032246,0.21106129741302834
balanced_guardrail,18424064_gab,muslim,2.659147,6.419238589238375,0.4142464815777318
balanced_guardrail,18424064_gab,white,0.512964,6.419238589238375,0.07991041193888102
balanced_guardrail,20372433_gab,black,1.581238,5.061801310628653,0.31238642194029886
balanced_guardrail,24959028_gab,jewish,1.1283560000000001,6.82227224484086,0.16539298924244566
balanced_guardrail,4361301_gab,muslim,0.655296,7.470276925712824,0.0877204428318393
balanced_guardrail,4361301_gab,immigrant_nationality,0.36314,7.470276925712824,0.048611317038337064
aggressive_reduction,10318118_gab,black,0.413196,4.406958435662091,0.09375990403184332
aggressive_reduction,10979482_gab,jewish,0.448983,3.8268133103847504,0.11732555617009155
aggressive_reduction,10979482_gab,white,0.227025,3.8268133103847504,0.059324817174625843
aggressive_reduction,11678017_gab,jewish,1.526494,3.536928136367351,0.4315875079010811
aggressive_reduction,1178832944707915776_twitter,black,0.843109,4.849759518168867,0.17384552715272247
aggressive_reduction,1226925254062362627_twitter,white,0.530687,2.560306642204523,0.2072747815640778
aggressive_reduction,1226925254062362627_twitter,women,0.263239,2.560306642204523,0.10281541892706299
aggressive_reduction,1226925254062362627_twitter,gay_lgbt,0.118177,2.560306642204523,0.04615736179875901
aggressive_reduction,12597139_gab,other_trigger,0.384188,3.605818724259734,0.10654667618624473
aggressive_reduction,12597139_gab,muslim,0.208359,3.605818724259734,0.05778410284415381
aggressive_reduction,15879649_gab,white,0.7085520000000001,3.627005310729146,0.19535455266746166
aggressive_reduction,18424064_gab,muslim,1.942261,4.770324109122157,0.4071549344594571
aggressive_reduction,18424064_gab,white,0.318653,4.770324109122157,0.066799025120882
aggressive_reduction,20372433_gab,black,1.156668,3.978264838457107,0.2907468574788478
aggressive_reduction,24959028_gab,jewish,1.004183,5.763379712589085,0.17423509296230122
aggressive_reduction,24959028_gab,kill,0.238669,5.763379712589085,0.041411291967917666
aggressive_reduction,4361301_gab,muslim,0.379444,6.845807388424873,0.055427209454004936
aggressive_reduction,4361301_gab,immigrant_nationality,0.311712,6.845807388424873,0.045533270557254264
