id,text,label,identity_terms,has_identity_term,label_id,gold_label,pred_label,prob_non_hateful,prob_hateful,analysis_subset
11678017_gab,in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,non_hateful,"jewish,white",True,0,non_hateful,hateful,0.001754616,0.99824536,common_identity_fp_all_models
15879649_gab,andrew anglin wants white women to be raped and beaten into submission he is just gross being out there just to shock white sharia is cancer and must be vehemently denounced,non_hateful,"white,women",True,0,non_hateful,hateful,0.07563271,0.92436725,common_identity_fp_all_models
1178981039353581568_twitter,f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity 👻,non_hateful,white,True,0,non_hateful,hateful,0.004322566,0.9956774,common_identity_fp_all_models
12597139_gab,the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,non_hateful,muslim,True,0,non_hateful,hateful,0.0045332992,0.9954667,common_identity_fp_all_models
10979482_gab,wishful thinking mr president these people will always hate you white man do not you get it yet u <user> stated that whichs very dangerous why do u refuse to understand that king kike trumps a genetic jew on his dads side wow hes its not an anglo saxon white man white nations,non_hateful,white,True,0,non_hateful,hateful,0.0018897456,0.9981103,common_identity_fp_all_models
1213875760420794368_twitter,<user> yet colin nike exploits asians at an alarming rate i hate graham and the cult45 but i agree with him on this,non_hateful,asian,True,0,non_hateful,hateful,0.037718322,0.9622817,common_identity_fp_all_models
1226925254062362627_twitter,us black trans women are dying white vegans us eat meat white vegans you should be ashamed of yourself,non_hateful,"black,white,women,trans",True,0,non_hateful,hateful,0.12022335,0.87977666,common_identity_fp_all_models
1178821631797538822_twitter,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,non_hateful,white,True,0,non_hateful,hateful,0.012524588,0.98747545,common_identity_fp_all_models
1178832944707915776_twitter,no chinks niggers or redskins ah i can already tell by the blunt racist dialogue from one of the white characters in the opening scene that this is going to be a good exploitation film,non_hateful,white,True,0,non_hateful,hateful,0.0042175264,0.9957825,common_identity_fp_all_models
10318118_gab,clapton told the crowd that england had become overcrowded vote for powell to stop britain from becoming a black colony that britain should get the foreigners out get the wogs out get the coons out then repeatedly shouted the national front slogan keep britain white prophetic,non_hateful,"black,white",True,0,non_hateful,hateful,0.0031093676,0.9968906,common_identity_fp_all_models
1179041911090188288_twitter,they do not tolerate mohajirs been crammed in the slums of karachi daily being told2go back2india there can be no nonmuslim refugees2pak bdesh every1 knows the same night mulla goons will dash in their homes lift up the women kill them law will ignore,non_hateful,women,True,0,non_hateful,hateful,0.26021126,0.7397887,baseline_identity_fp_resolved_by_aggressive
1178925404448595970_twitter,crackheads call themselves crackheads we all know black people who call themselves niggers savages and thugs but is not it different when a white says the same words let us keep it <number>,non_hateful,"black,white",True,0,non_hateful,hateful,0.08406506,0.91593486,baseline_identity_fp_resolved_by_aggressive
10842242_gab,black people still have not expressed their anger over current moslem slave owners in the middle east and north africa,non_hateful,black,True,0,non_hateful,hateful,0.41930157,0.58069843,baseline_identity_fp_resolved_by_aggressive
25981841_gab,few weeks back he quoted a statistic from the government regarding the percentage of paki muslim men involved in rape of young children,non_hateful,muslim,True,0,non_hateful,hateful,0.02986298,0.970137,baseline_identity_fp_resolved_by_aggressive
17941100_gab,<user> may as well put you to good use <user> this is an example of a muslim catfish study it have fun with it but if you want to cry at me for a few more hrs i suppose that would just say some thing no,non_hateful,muslim,True,0,non_hateful,hateful,0.06939918,0.9306008,baseline_identity_fp_resolved_by_aggressive
1178506508600008704_twitter,i hate saying nigga around my white friends but sometimes you niggers be out coonin and a cmon my nigga will slip out every now and again,non_hateful,white,True,0,non_hateful,hateful,0.012264706,0.98773533,baseline_identity_fp_resolved_by_aggressive
1179094989172690944_twitter,this neighbor at <number> has plates 3 d on his black audi is he going to kill me 134 days prior to valentines day or is he just an anti gay bigot who likes 3 d printers and hates on faggots now he has backed in the black explorer,non_hateful,"black,gay",True,0,non_hateful,hateful,0.42192116,0.5780788,baseline_identity_fp_resolved_by_aggressive
26535249_gab,no no it every topic dude every topic that gets some traction here they come they are in every room spouting it the jews and the arabs then the blacks it what they came to do,non_hateful,"black,arab",True,0,non_hateful,hateful,0.43426624,0.5657338,baseline_identity_fp_resolved_by_aggressive
6152693_gab,western women use vagina stereo speaker to blast unborn babies with feminist female empowerment musics of negress beyonce hag madonna breasticular katy perries slav expecting mothers enjoy cerebral classical music of tchaikovsky dvorák mussorgsky stravinsky free of vaginal intrusion,non_hateful,women,True,0,non_hateful,hateful,0.023846403,0.97615355,baseline_identity_fp_resolved_by_aggressive
3160792_gab,<user> and this is why zionist hate him and want to destroy russia they kicked out the big banks owned by kenite jews russia is literally the last vestige of white values left in the world,non_hateful,white,True,0,non_hateful,hateful,0.2791093,0.72089064,baseline_identity_fp_resolved_by_aggressive
8320068_gab,baby was a black sheep baby was a whore baby gotten big and baby getting bigger baby got some then baby want more baby baby baby was a rock roll nigger,non_hateful,black,True,0,non_hateful,hateful,0.0085320035,0.99146795,baseline_identity_fp_resolved_by_aggressive
1100389613074558976_twitter,<user> not low class they enjoy to get fucked by muslims,hateful,muslim,True,1,hateful,hateful,0.043675844,0.95632416,common_correct_identity_hateful
10040607_gab,recordbreakerr recordbreakerrrrrrrrrrrrrr5 hours ago this was a racist killing against a defenseless white woman the shooter was a somalian muzzie mandingo rapefugee who only got hired because of the affirmative action ﻿,hateful,"white,woman",True,1,hateful,hateful,0.0017287122,0.9982712,common_correct_identity_hateful
1178759746683146240_twitter,<user> alot of people just dont say it but she is not the only white nigger to think this way she is just another white nigger impowerd by trump to show her stupid way of thinking white niggers are the worst,hateful,white,True,1,hateful,hateful,0.011277622,0.9887223,common_correct_identity_hateful
10824649_gab,sucking all the msm dick eh curry nigger race traitor tell em how you are really an sjw who sides with sadiq khan mayor of londonstan and believe curries and sand niggers should steal whyte wymn and destroy the white race gabfam speakfreely tell em how you censor downvotes profitmonger,hateful,white,True,1,hateful,hateful,0.0019163571,0.9980837,common_correct_identity_hateful
10144695_gab,kid rock is not white not by my standard has a half niglet rapper son make mud babies and you will forever serve the muds,hateful,white,True,1,hateful,hateful,0.002359607,0.9976404,common_correct_identity_hateful
10227153_gab,looks to me like some social activists might have been there fanning the flames well starting the fire then maintaining it whatever happened to law and order most tax payers would not disagree with rubber bullets tear gas and water cannons being deployed on this mixed bag of muzzies and blacks,hateful,black,True,1,hateful,hateful,0.001732256,0.99826777,common_correct_identity_hateful
11004916_gab,and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,hateful,muslim,True,1,hateful,hateful,0.002250105,0.99774987,common_correct_identity_hateful
1178656914567258112_twitter,anime culture has created a new generation of weeboos where black and white kids gonna have ching chong names cuz their stupid ass parents like ching chong cartoons,hateful,"black,white",True,1,hateful,hateful,0.004500524,0.99549943,common_correct_identity_hateful
1178606198809141249_twitter,pope is asian you fucking dumb nigger,hateful,asian,True,1,hateful,hateful,0.002692541,0.9973074,common_correct_identity_hateful
11080346_gab,a mudshark is a white woman who is only attracted to black men a thot is a whore every mudshark is a thot but not every thot is a mudshark,hateful,"black,white,woman",True,1,hateful,hateful,0.001987027,0.9980129,common_correct_identity_hateful
10600154_gab,i am sick of a <number> white country not killing niggers jews in the damn streets,hateful,white,True,1,hateful,hateful,0.0025618197,0.9974382,common_correct_identity_hateful
1116531316508495872_twitter,<user> safe and affordable killing of helpless babies just what a muslim wants one less infidel to kill or convert,hateful,muslim,True,1,hateful,hateful,0.043054834,0.9569452,common_correct_identity_hateful
1177671086139478016_twitter,i hate arabs,hateful,arab,True,1,hateful,hateful,0.019232325,0.98076767,common_correct_identity_hateful
10888406_gab,pro tip the niggers do not care if you never owned slaves granddaddy fought the natzis or great great grandad ground the confederacy into dust with the boot heel of the proto bolshevik yankee gubment force of weight and arms behind it they hate you because you are white and you exist altright,hateful,white,True,1,hateful,hateful,0.0032568122,0.99674326,common_correct_identity_hateful
10651361_gab,pretty sure he fought the confederacy pretty sure your party uses lincolns name to endear coon black folks like <user> and <user> to your party while at the same time celebrating the people who fought him and killed him lol,hateful,black,True,1,hateful,hateful,0.0028982107,0.9971017,common_correct_identity_hateful
