analysis_subset,id,text,context_share_aggressive_reduction,context_share_balanced_guardrail,context_share_baseline,identity_share_aggressive_reduction,identity_share_balanced_guardrail,identity_share_baseline,aggressive_identity_delta,aggressive_context_delta
baseline_identity_fp_resolved_by_aggressive,10842242_gab,black people still have not expressed their anger over current moslem slave owners in the middle east and north africa,0.0,0.0,0.0,0.2159270696887612,0.2715825430117781,0.3141475558927412,-0.09822048620398,0.0
baseline_identity_fp_resolved_by_aggressive,1178506508600008704_twitter,i hate saying nigga around my white friends but sometimes you niggers be out coonin and a cmon my nigga will slip out every now and again,0.0441335957378972,0.0160042485691738,0.0246379919136191,0.4297014037982155,0.5277143496363979,0.5774848536231018,-0.14778344982488628,0.0194956038242781
baseline_identity_fp_resolved_by_aggressive,1178925404448595970_twitter,crackheads call themselves crackheads we all know black people who call themselves niggers savages and thugs but is not it different when a white says the same words let us keep it <number>,0.0,0.0,0.0,0.076384527148984,0.1624288170380687,0.2039013027188597,-0.1275167755698757,0.0
baseline_identity_fp_resolved_by_aggressive,1179041911090188288_twitter,they do not tolerate mohajirs been crammed in the slums of karachi daily being told2go back2india there can be no nonmuslim refugees2pak bdesh every1 knows the same night mulla goons will dash in their homes lift up the women kill them law will ignore,0.0,0.0,0.0,0.1121180078380224,0.133545086521597,0.1144286800691817,-0.0023106722311593136,0.0
baseline_identity_fp_resolved_by_aggressive,1179094989172690944_twitter,this neighbor at <number> has plates 3 d on his black audi is he going to kill me 134 days prior to valentines day or is he just an anti gay bigot who likes 3 d printers and hates on faggots now he has backed in the black explorer,0.0116402231820706,0.0222654204163067,0.0180805339206451,0.201621159719271,0.1474269412268494,0.2006868230522786,0.0009343366669923858,-0.006440310738574501
baseline_identity_fp_resolved_by_aggressive,17941100_gab,<user> may as well put you to good use <user> this is an example of a muslim catfish study it have fun with it but if you want to cry at me for a few more hrs i suppose that would just say some thing no,0.0,0.0,0.0,0.0166721937210441,0.0336458461047791,0.0913029338030188,-0.07463074008197469,0.0
baseline_identity_fp_resolved_by_aggressive,25981841_gab,few weeks back he quoted a statistic from the government regarding the percentage of paki muslim men involved in rape of young children,0.0197957747632296,0.006469705257234,0.0186214351748803,0.2559425686871879,0.2792491645859753,0.2600031188641689,-0.0040605501769809815,0.0011743395883492998
baseline_identity_fp_resolved_by_aggressive,26535249_gab,no no it every topic dude every topic that gets some traction here they come they are in every room spouting it the jews and the arabs then the blacks it what they came to do,0.0,0.0,0.0,0.1734171522492918,0.308070446713258,0.3240382556054917,-0.1506211033561999,0.0
baseline_identity_fp_resolved_by_aggressive,3160792_gab,<user> and this is why zionist hate him and want to destroy russia they kicked out the big banks owned by kenite jews russia is literally the last vestige of white values left in the world,0.1713017727289855,0.0763933145982259,0.0869446503695822,0.0480842815586518,0.1063571438771021,0.1068495484363591,-0.058765266877707306,0.0843571223594033
baseline_identity_fp_resolved_by_aggressive,6152693_gab,western women use vagina stereo speaker to blast unborn babies with feminist female empowerment musics of negress beyonce hag madonna breasticular katy perries slav expecting mothers enjoy cerebral classical music of tchaikovsky dvorák mussorgsky stravinsky free of vaginal intrusion,0.0,0.0,0.0,0.1178854615630013,0.256029132348047,0.3842409242883257,-0.2663554627253244,0.0
baseline_identity_fp_resolved_by_aggressive,8320068_gab,baby was a black sheep baby was a whore baby gotten big and baby getting bigger baby got some then baby want more baby baby baby was a rock roll nigger,0.0,0.0,0.0,0.3222114862989687,0.3232964505715509,0.414582544177096,-0.09237105787812733,0.0
common_correct_identity_hateful,10040607_gab,recordbreakerr recordbreakerrrrrrrrrrrrrr5 hours ago this was a racist killing against a defenseless white woman the shooter was a somalian muzzie mandingo rapefugee who only got hired because of the affirmative action ﻿,0.1378527622892151,0.1890964408111398,0.1035772271094759,0.3865252908435436,0.3588020877879223,0.4356781568488719,-0.04915286600532831,0.03427553517973919
common_correct_identity_hateful,10144695_gab,kid rock is not white not by my standard has a half niglet rapper son make mud babies and you will forever serve the muds,0.0,0.0,0.0,0.0266848465266782,0.0453088415203932,0.0460641848486873,-0.019379338322009103,0.0
