id,text,label,identity_terms,has_identity_term,label_id,gold_label,pred_label,prob_non_hateful,prob_hateful
10318118_gab,clapton told the crowd that england had become overcrowded vote for powell to stop britain from becoming a black colony that britain should get the foreigners out get the wogs out get the coons out then repeatedly shouted the national front slogan keep britain white prophetic,non_hateful,"black,white",True,0,non_hateful,hateful,0.0031093676,0.9968906
10842242_gab,black people still have not expressed their anger over current moslem slave owners in the middle east and north africa,non_hateful,black,True,0,non_hateful,hateful,0.41930157,0.58069843
10979482_gab,wishful thinking mr president these people will always hate you white man do not you get it yet u <user> stated that whichs very dangerous why do u refuse to understand that king kike trumps a genetic jew on his dads side wow hes its not an anglo saxon white man white nations,non_hateful,white,True,0,non_hateful,hateful,0.0018897456,0.9981103
1162817415685857280_twitter,i do not blame orlando pie rats for loosing like this they are drunk from that black label 😂 😂 😂 mtn 8 ss diski wafa wafa,non_hateful,black,True,0,non_hateful,hateful,0.12975422,0.87024575
11678017_gab,in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,non_hateful,"jewish,white",True,0,non_hateful,hateful,0.001754616,0.99824536
1178506508600008704_twitter,i hate saying nigga around my white friends but sometimes you niggers be out coonin and a cmon my nigga will slip out every now and again,non_hateful,white,True,0,non_hateful,hateful,0.012264706,0.98773533
1178821631797538822_twitter,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,non_hateful,white,True,0,non_hateful,hateful,0.012524588,0.98747545
1178832944707915776_twitter,no chinks niggers or redskins ah i can already tell by the blunt racist dialogue from one of the white characters in the opening scene that this is going to be a good exploitation film,non_hateful,white,True,0,non_hateful,hateful,0.0042175264,0.9957825
1178925404448595970_twitter,crackheads call themselves crackheads we all know black people who call themselves niggers savages and thugs but is not it different when a white says the same words let us keep it <number>,non_hateful,"black,white",True,0,non_hateful,hateful,0.08406506,0.91593486
1178981039353581568_twitter,f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity 👻,non_hateful,white,True,0,non_hateful,hateful,0.004322566,0.9956774
1179041911090188288_twitter,they do not tolerate mohajirs been crammed in the slums of karachi daily being told2go back2india there can be no nonmuslim refugees2pak bdesh every1 knows the same night mulla goons will dash in their homes lift up the women kill them law will ignore,non_hateful,women,True,0,non_hateful,hateful,0.26021126,0.7397887
1179094989172690944_twitter,this neighbor at <number> has plates 3 d on his black audi is he going to kill me 134 days prior to valentines day or is he just an anti gay bigot who likes 3 d printers and hates on faggots now he has backed in the black explorer,non_hateful,"black,gay",True,0,non_hateful,hateful,0.42192116,0.5780788
1213875760420794368_twitter,<user> yet colin nike exploits asians at an alarming rate i hate graham and the cult45 but i agree with him on this,non_hateful,asian,True,0,non_hateful,hateful,0.037718322,0.9622817
1226925254062362627_twitter,us black trans women are dying white vegans us eat meat white vegans you should be ashamed of yourself,non_hateful,"black,white,women,trans",True,0,non_hateful,hateful,0.12022335,0.87977666
12597139_gab,the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,non_hateful,muslim,True,0,non_hateful,hateful,0.0045332992,0.9954667
15879649_gab,andrew anglin wants white women to be raped and beaten into submission he is just gross being out there just to shock white sharia is cancer and must be vehemently denounced,non_hateful,"white,women",True,0,non_hateful,hateful,0.07563271,0.92436725
17941100_gab,<user> may as well put you to good use <user> this is an example of a muslim catfish study it have fun with it but if you want to cry at me for a few more hrs i suppose that would just say some thing no,non_hateful,muslim,True,0,non_hateful,hateful,0.06939918,0.9306008
18424064_gab,white guy puts ied in mall and the response is fuck all muzzies and spics stay classy gab,non_hateful,white,True,0,non_hateful,hateful,0.0019683545,0.9980317
20372433_gab,when blacks act in a manner far less likely to involve getting shot their peers call them coons and uncle toms some of their own people told them this too but they did not want to listen,non_hateful,black,True,0,non_hateful,hateful,0.017138604,0.9828614
24959028_gab,on the left jews putting a sad face for the pictures that they would publish around the world on the right the same jews celebrating that their enemies were killing each other and soon israel would be created without shedding a single drop of jewish blood,non_hateful,jewish,True,0,non_hateful,hateful,0.0673112,0.93268883
25981841_gab,few weeks back he quoted a statistic from the government regarding the percentage of paki muslim men involved in rape of young children,non_hateful,muslim,True,0,non_hateful,hateful,0.02986298,0.970137
26535249_gab,no no it every topic dude every topic that gets some traction here they come they are in every room spouting it the jews and the arabs then the blacks it what they came to do,non_hateful,"black,arab",True,0,non_hateful,hateful,0.43426624,0.5657338
3160792_gab,<user> and this is why zionist hate him and want to destroy russia they kicked out the big banks owned by kenite jews russia is literally the last vestige of white values left in the world,non_hateful,white,True,0,non_hateful,hateful,0.2791093,0.72089064
4361301_gab,feminists i am doing this womens march because trump is a misogynist that hires many women into leading roles in his business and hates illegal immigrants i am the resistance but let import as many islamic women oppressing refugees as we can cuz diversity,non_hateful,"women,immigrant",True,0,non_hateful,hateful,0.042583525,0.9574164
6152693_gab,western women use vagina stereo speaker to blast unborn babies with feminist female empowerment musics of negress beyonce hag madonna breasticular katy perries slav expecting mothers enjoy cerebral classical music of tchaikovsky dvorák mussorgsky stravinsky free of vaginal intrusion,non_hateful,women,True,0,non_hateful,hateful,0.023846403,0.97615355
8320068_gab,baby was a black sheep baby was a whore baby gotten big and baby getting bigger baby got some then baby want more baby baby baby was a rock roll nigger,non_hateful,black,True,0,non_hateful,hateful,0.0085320035,0.99146795
