id,text,label,identity_terms,has_identity_term,label_id,gold_label,pred_label,prob_non_hateful,prob_hateful
10318118_gab,clapton told the crowd that england had become overcrowded vote for powell to stop britain from becoming a black colony that britain should get the foreigners out get the wogs out get the coons out then repeatedly shouted the national front slogan keep britain white prophetic,non_hateful,"black,white",True,0,non_hateful,hateful,0.0031093676,0.9968906
10979482_gab,wishful thinking mr president these people will always hate you white man do not you get it yet u <user> stated that whichs very dangerous why do u refuse to understand that king kike trumps a genetic jew on his dads side wow hes its not an anglo saxon white man white nations,non_hateful,white,True,0,non_hateful,hateful,0.0018897456,0.9981103
11678017_gab,in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,non_hateful,"jewish,white",True,0,non_hateful,hateful,0.001754616,0.99824536
1178821631797538822_twitter,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,non_hateful,white,True,0,non_hateful,hateful,0.012524588,0.98747545
1178832944707915776_twitter,no chinks niggers or redskins ah i can already tell by the blunt racist dialogue from one of the white characters in the opening scene that this is going to be a good exploitation film,non_hateful,white,True,0,non_hateful,hateful,0.0042175264,0.9957825
1178981039353581568_twitter,f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity 👻,non_hateful,white,True,0,non_hateful,hateful,0.004322566,0.9956774
1213875760420794368_twitter,<user> yet colin nike exploits asians at an alarming rate i hate graham and the cult45 but i agree with him on this,non_hateful,asian,True,0,non_hateful,hateful,0.037718322,0.9622817
1226925254062362627_twitter,us black trans women are dying white vegans us eat meat white vegans you should be ashamed of yourself,non_hateful,"black,white,women,trans",True,0,non_hateful,hateful,0.12022335,0.87977666
12597139_gab,the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,non_hateful,muslim,True,0,non_hateful,hateful,0.0045332992,0.9954667
15879649_gab,andrew anglin wants white women to be raped and beaten into submission he is just gross being out there just to shock white sharia is cancer and must be vehemently denounced,non_hateful,"white,women",True,0,non_hateful,hateful,0.07563271,0.92436725
18424064_gab,white guy puts ied in mall and the response is fuck all muzzies and spics stay classy gab,non_hateful,white,True,0,non_hateful,hateful,0.0019683545,0.9980317
20372433_gab,when blacks act in a manner far less likely to involve getting shot their peers call them coons and uncle toms some of their own people told them this too but they did not want to listen,non_hateful,black,True,0,non_hateful,hateful,0.017138604,0.9828614
24959028_gab,on the left jews putting a sad face for the pictures that they would publish around the world on the right the same jews celebrating that their enemies were killing each other and soon israel would be created without shedding a single drop of jewish blood,non_hateful,jewish,True,0,non_hateful,hateful,0.0673112,0.93268883
4361301_gab,feminists i am doing this womens march because trump is a misogynist that hires many women into leading roles in his business and hates illegal immigrants i am the resistance but let import as many islamic women oppressing refugees as we can cuz diversity,non_hateful,"women,immigrant",True,0,non_hateful,hateful,0.042583525,0.9574164
