model,id,text,term_groups,prob_hateful
baseline,1103385226921762816_twitter,<user> <user> well she ’ muslim so of course she hates the jews jew hatred is one of the defining feature of islam,"jewish,muslim",0.009755538
baseline,8198864_gab,hillary clinton with dyke roomie back in the latter <number> still a rotten bitch today,gay_lgbt,0.1627076
baseline,4587876_gab,i go to public beaches and see beautiful young women it tiny swimsuits and yet somehow i have managed to never rape anyone that the difference between americans and islamists apparently,"muslim,women",0.10978623
baseline,1178837672699269126_twitter,dababy security explaining why he knocked out that dyke should not be as funny as it is,gay_lgbt,0.033190504
baseline,4037364_gab,<user> aloha akbatman she not the immigrant we need or the immigrant we want but she the immigrant we have got so let beat her because she can take it,immigrant_nationality,0.016267708
baseline,16883713_gab,when america was white no ghettos no handouts almost no taxes no men of color trying to have sex with your <number> year old daughter almost no crime the left says the white communities must die out,white,0.09182507
baseline,16908788_gab,you can not culturally enrich a moslem,muslim,0.14061804
baseline,6070354_gab,whatever crypto infiltrator u are yeah but ur pro zionist are not u definition of jew believes in and pushes holocaust hoax as well as pushes <number> <number> was done by arabs story,jewish,0.06465681
baseline,1178110624905224192_twitter,shoutout to all the dykes out here still fucking niggas,"black,gay_lgbt",0.008338372
baseline,6653253_gab,if money was grown on trees women would be dating monkeys oh wait never mind,women,0.15962404
baseline,17574897_gab,diversity is a code word for white genocide,white,0.072395995
baseline,12803910_gab,wow you think race has nothing to do with it why do we have all these ghettos in america you think race does not dictate behavior you really think these immigrants come here because they want to adopt your white american heritage why are they tearing your monuments down,"immigrant_nationality,white",0.06794232
baseline,1076653388232704000_twitter,a nigga have a baby on me i swear i ’ ll take out the whole family sorry not sorry 😋 🗡,black,0.0020455352
baseline,10783839_gab,ideally yes when push comes to shove id rather live in a white run city country we already know what a planet of apes scenario looks like baltimore chicago philly detroit and every suburban mall failing to shoo flies,white,0.04780474
baseline,1967858_gab,i find when i tell liberals about what is happening in europe with refugees and islamic invasion and how women girls m as well as young boys gays lgbt and everyone native in that country are being assaulted raped and abused it is very effective at turning liberals red trump pizzagate,"muslim,women",0.049396783
baseline,1250295032092823564_twitter,<user> i am sorry isabelle but you are fucking retarded,disability,0.03622108
baseline,1252162171603124225_twitter,<user> <user> not migrants these are illegal immigrants which makes them criminals either lock them up or deport them,immigrant_nationality,0.015226448
baseline,12042275_gab,see how lefties turn on their poster girl aung san suu kyi mynarmar cos she will not bend to dhimmi traitor politicians un by appeasing moslems unhcr head is a moslem screams genocide irony yet mentions nothing of ongoing moslem genocide of christians in middle east me says go for it aung,"muslim,women",0.17365532
baseline,1178866509139103744_twitter,i have been communication banned twice in the past month for calling kids faggots on rb6 when my teammates kill me for no reason kids really can not handle this shit nowadays,gay_lgbt,0.029509723
baseline,1178723245211734016_twitter,<user> according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on white trash collapsing long island,white,0.010582435
baseline,17030440_gab,iran our women and children are being raped murdered and stabbed by invading barbarians and we are worried about muh democracy in iran wtf iranprotests,women,0.09071319
baseline,1179082312123916292_twitter,i need to calm down and stop being so autistic like honestly im just too retarded wtf im going to try be a calmer person from now on,disability,0.0040281583
baseline,17187669_gab,online nazi haha guys the left can not meme <number> white privilege diversity is our strength race is just skin color the holocaust racist sexist bigot homophobe islamophobe anti semite,"muslim,white",0.08118662
baseline,1179105444096348165_twitter,do not call me a nigger i am white,"black,white",0.06551726
baseline,19842848_gab,if the greeks from <number> years ago could see the olympics now they d throw up it all about more msm promotion of gays blacks and those who hate whitey back then it was a statement of see do not mess with my country we will f you up,"black,white",0.48353875
